"Номер операции","Дата","Код магазина","Код товара","Количество упаковок, шт.","Тип операции","Цена руб./шт."
"116","10/1/2021","M11","34","37","Продажа","65"
"117","10/1/2021","M11","44","180","Поступление","180"
"118","10/1/2021","M11","44","56","Продажа","180"
"119","10/1/2021","M11","45","180","Поступление","170"
"120","10/1/2021","M11","45","37","Продажа","170"
"121","10/1/2021","M11","46","180","Поступление","330"
"122","10/1/2021","M11","46","74","Продажа","330"
"123","10/1/2021","M11","47","170","Поступление","370"
"124","10/1/2021","M11","47","23","Продажа","370"
"125","10/1/2021","M11","48","180","Поступление","180"
"126","10/1/2021","M11","48","56","Продажа","180"
"127","10/1/2021","M12","4","180","Поступление","75"
"128","10/1/2021","M12","4","170","Продажа","75"
"129","10/1/2021","M12","5","170","Поступление","70"
"130","10/1/2021","M12","5","120","Продажа","70"
"131","10/1/2021","M12","6","180","Поступление","50"
"132","10/1/2021","M12","6","90","Продажа","50"
"133","10/1/2021","M12","2","180","Поступление","55"
"134","10/1/2021","M12","9","150","Продажа","55"
"135","10/1/2021","M12","10","180","Поступление","70"
"136","10/1/2021","M12","10","90","Продажа","70"
"137","10/1/2021","M12","13","180","Поступление","60"
"138","10/1/2021","M12","13","100","Продажа","60"
"139","10/1/2021","M12","18","170","Поступление","49"
"140","10/1/2021","M12","18","60","Продажа","49"
"141","10/1/2021","M12","24","180","Поступление","50"
"142","10/1/2021","M12","24","120","Продажа","50"
"143","10/1/2021","M12","25","180","Поступление","52"
"144","10/1/2021","M12","25","120","Продажа","52"
"145","10/1/2021","M12","26","170","Поступление","47"
"146","10/1/2021","M12","26","120","Продажа","47"
"147","10/1/2021","M12","27","180","Поступление","45"
"148","10/1/2021","M12","27","120","Продажа","45"
"149","10/1/2021","M12","28","180","Поступление","38"
"150","10/1/2021","M12","28","100","Продажа","38"
"151","10/1/2021","M12","29","180","Поступление","85"
"152","10/1/2021","M12","29","20","Продажа","85"
"153","10/1/2021","M12","30","180","Поступление","44"
"154","10/1/2021","M12","30","80","Продажа","44"
"155","10/1/2021","M12","33","170","Поступление","50"
"156","10/1/2021","M12","33","80","Продажа","50"
"157","10/1/2021","M12","34","180","Поступление","65"
"158","10/1/2021","M12","34","40","Продажа","65"
"159","10/1/2021","M12","44","180","Поступление","180"
"160","10/1/2021","M12","44","60","Продажа","180"
"161","10/1/2021","M12","45","170","Поступление","170"
"162","10/1/2021","M12","45","40","Продажа","170"
"163","10/1/2021","M12","46","180","Поступление","330"
"164","10/1/2021","M12","46","80","Продажа","330"
"165","10/1/2021","M12","47","180","Поступление","370"
"166","10/1/2021","M12","47","24","Продажа","370"
"167","10/1/2021","M12","48","180","Поступление","180"
"168","10/1/2021","M12","48","60","Продажа","180"
"169","10/1/2021","M13","4","180","Поступление","75"
"170","10/1/2021","M13","4","180","Продажа","75"
"171","10/1/2021","M13","5","170","Поступление","70"
"172","10/1/2021","M13","5","110","Продажа","70"
"173","10/1/2021","M13","6","180","Поступление","50"
"174","10/1/2021","M13","6","90","Продажа","50"
"175","10/1/2021","M13","9","180","Поступление","55"
"176","10/1/2021","M13","9","150","Продажа","55"
"177","10/1/2021","M13","10","170","Поступление","70"
"178","10/1/2021","M13","10","90","Продажа","70"
"179","10/1/2021","M13","13","180","Поступление","60"
"180","10/1/2021","M13","13","100","Продажа","60"
"181","10/1/2021","M13","18","180","Поступление","49"
"182","10/1/2021","M13","18","60","Продажа","49"
"183","10/1/2021","M13","24","180","Поступление","50"
"184","10/1/2021","M13","24","120","Продажа","50"
"185","10/1/2021","M13","25","180","Поступление","52"
"186","10/1/2021","M13","25","120","Продажа","52"
"187","10/1/2021","M13","26","170","Поступление","47"
"188","10/1/2021","M13","26","120","Продажа","47"
"189","10/1/2021","M13","27","180","Поступление","45"
"190","10/1/2021","M13","27","120","Продажа","45"
"191","10/1/2021","M13","28","180","Поступление","38"
"192","10/1/2021","M13","28","100","Продажа","38"
"193","10/1/2021","M13","29","170","Поступление","85"
"194","10/1/2021","M13","29","20","Продажа","85"
"195","10/1/2021","M13","30","180","Поступление","44"
"196","10/1/2021","M13","30","80","Продажа","44"
"197","10/1/2021","M13","33","180","Поступление","50"
"198","10/1/2021","M13","33","80","Продажа","50"
"199","10/1/2021","M13","34","180","Поступление","65"
"200","10/1/2021","M13","34","40","Продажа","65"
"201","10/1/2021","M13","44","180","Поступление","180"
"202","10/1/2021","M13","44","60","Продажа","180"
"203","10/1/2021","M13","45","170","Поступление","170"
"204","10/1/2021","M13","45","40","Продажа","170"
"205","10/1/2021","M13","46","180","Поступление","330"
"206","10/1/2021","M13","46","80","Продажа","330"
"207","10/1/2021","M13","47","180","Поступление","370"
"208","10/1/2021","M13","47","24","Продажа","370"
"209","10/1/2021","M13","48","170","Поступление","180"
"210","10/1/2021","M13","48","60","Продажа","180"
"211","10/1/2021","M14","4","180","Поступление","75"
"212","10/1/2021","M14","2","120","Продажа","75"
"213","10/1/2021","M14","5","180","Поступление","70"
"214","10/1/2021","M14","5","49","Продажа","70"
"215","10/1/2021","M14","6","180","Поступление","50"
"216","10/1/2021","M14","6","72","Продажа","50"
"217","10/1/2021","M14","9","180","Поступление","55"
"218","10/1/2021","M14","9","90","Продажа","55"
"219","10/1/2021","M14","10","170","Поступление","70"
"220","10/1/2021","M14","10","90","Продажа","70"
"221","10/1/2021","M14","13","180","Поступление","60"
"222","10/1/2021","M14","13","80","Продажа","60"
"223","10/1/2021","M14","18","180","Поступление","49"
"224","10/1/2021","M14","18","57","Продажа","49"
"225","10/1/2021","M14","24","170","Поступление","50"
"226","10/1/2021","M14","24","108","Продажа","50"
"227","10/1/2021","M14","25","180","Поступление","52"
"228","10/1/2021","M14","25","115","Продажа","52"
"229","10/1/2021","M14","26","180","Поступление","47"
"230","10/1/2021","M14","26","116","Продажа","47"
"231","10/1/2021","M14","27","180","Поступление","45"
"232","10/1/2021","M14","27","105","Продажа","45"
"233","10/1/2021","M14","28","180","Поступление","38"
"234","10/1/2021","M14","28","93","Продажа","38"
"235","10/1/2021","M14","29","170","Поступление","85"
"236","10/1/2021","M14","29","19","Продажа","85"
"237","10/1/2021","M14","30","180","Поступление","44"
"238","10/1/2021","M14","30","74","Продажа","44"
"239","10/1/2021","M14","33","180","Поступление","50"
"240","10/1/2021","M14","33","74","Продажа","50"
"241","10/1/2021","M14","34","170","Поступление","65"
"242","10/1/2021","M14","34","37","Продажа","65"
"243","10/1/2021","M14","44","180","Поступление","180"
"244","10/1/2021","M14","44","56","Продажа","180"
"245","10/1/2021","M14","45","180","Поступление","170"
"246","10/1/2021","M14","45","37","Продажа","170"
"247","10/1/2021","M14","46","180","Поступление","330"
"248","10/1/2021","M14","46","74","Продажа","330"
"249","10/1/2021","M14","47","180","Поступление","370"
"250","10/1/2021","M14","47","23","Продажа","370"
"251","10/1/2021","M14","48","170","Поступление","180"
"252","10/1/2021","M14","48","56","Продажа","180"
"253","10/1/2021","M15","4","180","Поступление","75"
"254","10/1/2021","M15","4","180","Продажа","75"
"255","10/1/2021","M15","5","180","Поступление","70"
"256","10/1/2021","M15","5","180","Продажа","70"
"257","10/1/2021","M15","6","170","Поступление","50"
"258","10/1/2021","M15","6","180","Продажа","50"
"259","10/1/2021","M15","9","180","Поступление","55"
"260","10/1/2021","M15","9","145","Продажа","55"
"261","10/1/2021","M15","10","180","Поступление","70"
"262","10/1/2021","M15","10","150","Продажа","70"
"263","10/1/2021","M15","13","180","Поступление","60"
"264","10/1/2021","M15","13","120","Продажа","60"
"265","10/1/2021","M15","18","180","Поступление","49"
"266","10/1/2021","M15","18","80","Продажа","49"
"267","10/1/2021","M15","24","170","Поступление","50"
"268","10/1/2021","M15","24","159","Продажа","50"
"269","10/1/2021","M15","2","180","Поступление","52"
"270","10/1/2021","M15","2","159","Продажа","52"
"271","10/1/2021","M15","2","180","Поступление","47"
"272","10/1/2021","M15","2","159","Продажа","47"
"273","10/1/2021","M15","27","170","Поступление","45"
"274","10/1/2021","M15","27","159","Продажа","45"
"275","10/1/2021","M15","28","180","Поступление","38"
"276","10/1/2021","M15","28","133","Продажа","38"
"277","10/1/2021","M15","2","180","Поступление","85"
"278","10/1/2021","M15","2","27","Продажа","85"
"279","10/1/2021","M15","2","180","Поступление","44"
"280","10/1/2021","M15","30","106","Продажа","44"
"281","10/1/2021","M15","33","180","Поступление","50"
"282","10/1/2021","M15","33","106","Продажа","50"
"283","10/1/2021","M15","34","170","Поступление","65"
"284","10/1/2021","M15","34","53","Продажа","65"
"285","10/1/2021","M15","44","180","Поступление","180"
"286","10/1/2021","M15","44","80","Продажа","180"
"287","10/1/2021","M15","45","180","Поступление","170"
"288","10/1/2021","M15","45","53","Продажа","170"
"289","10/1/2021","M15","46","170","Поступление","330"
"290","10/1/2021","M15","46","106","Продажа","330"
"291","10/1/2021","M15","47","180","Поступление","370"
"292","10/1/2021","M15","47","32","Продажа","370"
"293","10/1/2021","M15","48","180","Поступление","180"
"294","10/1/2021","M15","48","80","Продажа","180"
"295","10/1/2021","M16","4","180","Поступление","75"
"296","10/1/2021","M16","4","180","Продажа","75"
"297","10/1/2021","M16","5","180","Поступление","70"
"298","10/1/2021","M16","5","120","Продажа","70"
"299","10/1/2021","M16","6","170","Поступление","50"
"300","10/1/2021","M16","6","80","Продажа","50"
"301","10/1/2021","M16","9","180","Поступление","55"
"302","10/1/2021","M16","9","150","Продажа","55"
"303","10/1/2021","M16","10","180","Поступление","70"
"304","10/1/2021","M16","10","90","Продажа","70"
"305","10/1/2021","M16","13","170","Поступление","60"
"306","10/1/2021","M16","13","100","Продажа","60"
"307","10/1/2021","M16","18","180","Поступление","49"
"308","10/1/2021","M16","18","60","Продажа","49"
"309","10/1/2021","M16","24","180","Поступление","50"
"310","10/1/2021","M16","24","120","Продажа","50"
"311","10/1/2021","M16","25","180","Поступление","52"
"312","10/1/2021","M16","25","120","Продажа","52"
"313","10/1/2021","M16","26","180","Поступление","47"
"314","10/1/2021","M16","26","120","Продажа","47"
"315","10/1/2021","M16","27","170","Поступление","45"
"316","10/1/2021","M16","27","120","Продажа","45"
"317","10/1/2021","M16","28","180","Поступление","38"
"318","10/1/2021","M16","28","100","Продажа","38"
"319","10/1/2021","M16","29","180","Поступление","85"
"320","10/1/2021","M16","29","20","Продажа","85"
"321","10/1/2021","M16","30","170","Поступление","44"
"322","10/1/2021","M16","30","80","Продажа","44"
"323","10/1/2021","M16","33","180","Поступление","50"
"324","10/1/2021","M16","33","80","Продажа","50"
"325","10/1/2021","M16","34","180","Поступление","65"
"326","10/1/2021","M16","34","40","Продажа","65"
"327","10/1/2021","M16","44","180","Поступление","180"
"328","10/1/2021","M16","44","60","Продажа","180"
"329","10/1/2021","M16","45","180","Поступление","170"
"330","10/1/2021","M16","45","40","Продажа","170"
"331","10/1/2021","M16","46","170","Поступление","330"
"332","10/1/2021","M16","46","80","Продажа","330"
"333","10/1/2021","M16","47","180","Поступление","370"
"334","10/1/2021","M16","47","24","Продажа","370"
"335","10/1/2021","M16","48","180","Поступление","180"
"336","10/1/2021","M16","48","60","Продажа","180"
"337","10/1/2021","M2","4","170","Поступление","75"
"338","10/1/2021","M2","4","180","Продажа","75"
"339","10/1/2021","M2","5","180","Поступление","70"
"340","10/1/2021","M2","5","120","Продажа","70"
"341","10/1/2021","M2","6","180","Поступление","50"
"342","10/1/2021","M2","6","90","Продажа","50"
"343","10/1/2021","M2","9","180","Поступление","55"
"344","10/1/2021","M2","9","140","Продажа","55"
"345","10/1/2021","M2","10","180","Поступление","70"
"346","10/1/2021","M2","10","90","Продажа","70"
"347","10/1/2021","M2","13","170","Поступление","60"
"348","10/1/2021","M2","13","100","Продажа","60"
"349","10/1/2021","M2","18","180","Поступление","49"
"350","10/1/2021","M2","18","60","Продажа","49"
"351","10/1/2021","M2","24","180","Поступление","50"
"352","10/1/2021","M2","24","120","Продажа","50"
"353","10/1/2021","M2","25","170","Поступление","52"
"354","10/1/2021","M2","25","120","Продажа","52"
"355","10/1/2021","M2","26","180","Поступление","47"
"356","10/1/2021","M2","26","120","Продажа","47"
"357","10/1/2021","M2","27","180","Поступление","45"
"358","10/1/2021","M2","27","120","Продажа","45"
"359","10/1/2021","M2","28","180","Поступление","38"
"360","10/1/2021","M2","28","100","Продажа","38"
"361","10/1/2021","M2","29","180","Поступление","85"
"362","10/1/2021","M2","29","20","Продажа","85"
"363","10/1/2021","M2","30","170","Поступление","44"
"364","10/1/2021","M2","30","80","Продажа","44"
"365","10/1/2021","M2","33","180","Поступление","50"
"366","10/1/2021","M2","33","80","Продажа","50"
"367","10/1/2021","M2","34","180","Поступление","65"
"368","10/1/2021","M2","34","40","Продажа","65"
"369","10/1/2021","M2","44","170","Поступление","180"
"370","10/1/2021","M2","44","60","Продажа","180"
"371","10/1/2021","M2","45","180","Поступление","170"
"372","10/1/2021","M2","45","40","Продажа","170"
"373","10/1/2021","M2","46","180","Поступление","330"
"374","10/1/2021","M2","46","80","Продажа","330"
"375","10/1/2021","M2","47","180","Поступление","370"
"376","10/1/2021","M2","47","24","Продажа","370"
"377","10/1/2021","M2","48","180","Поступление","180"
"378","10/1/2021","M2","48","60","Продажа","180"
"379","10/1/2021","M3","4","170","Поступление","75"
"380","10/1/2021","M3","4","120","Продажа","75"
"381","10/1/2021","M3","5","180","Поступление","70"
"382","10/1/2021","M3","5","60","Продажа","70"
"383","10/1/2021","M3","6","180","Поступление","50"
"384","10/1/2021","M3","6","70","Продажа","50"
"385","10/1/2021","M3","9","170","Поступление","55"
"386","10/1/2021","M3","9","90","Продажа","55"
"387","10/1/2021","M3","10","180","Поступление","70"
"388","10/1/2021","M3","10","90","Продажа","70"
"389","10/1/2021","M3","13","180","Поступление","60"
"390","10/1/2021","M3","13","80","Продажа","60"
"391","10/1/2021","M3","18","180","Поступление","49"
"392","10/1/2021","M3","18","59","Продажа","49"
"393","10/1/2021","M3","24","180","Поступление","50"
"394","10/1/2021","M3","24","111","Продажа","50"
"395","10/1/2021","M3","25","170","Поступление","52"
"396","10/1/2021","M3","25","119","Продажа","52"
"397","10/1/2021","M3","26","180","Поступление","47"
"398","10/1/2021","M3","26","105","Продажа","47"
"399","10/1/2021","M3","27","180","Поступление","45"
"400","10/1/2021","M3","27","114","Продажа","45"
"401","10/1/2021","M3","28","170","Поступление","38"
"402","10/1/2021","M3","28","93","Продажа","38"
"403","10/1/2021","M3","29","180","Поступление","85"
"404","10/1/2021","M3","29","19","Продажа","85"
"405","10/1/2021","M3","30","180","Поступление","44"
"406","10/1/2021","M3","30","74","Продажа","44"
"407","10/1/2021","M3","33","180","Поступление","50"
"408","10/1/2021","M3","33","74","Продажа","50"
"409","10/1/2021","M3","34","180","Поступление","65"
"410","10/1/2021","M3","34","37","Продажа","65"
"411","10/1/2021","M3","44","170","Поступление","180"
"412","10/1/2021","M3","44","56","Продажа","180"
"413","10/1/2021","M3","45","180","Поступление","170"
"414","10/1/2021","M3","45","37","Продажа","170"
"415","10/1/2021","M3","46","180","Поступление","330"
"416","10/1/2021","M3","46","74","Продажа","330"
"417","10/1/2021","M3","47","170","Поступление","370"
"418","10/1/2021","M3","47","23","Продажа","370"
"419","10/1/2021","M3","48","180","Поступление","180"
"420","10/1/2021","M3","48","61","Продажа","180"
"421","10/1/2021","M4","4","180","Поступление","75"
"422","10/1/2021","M4","4","180","Продажа","75"
"423","10/1/2021","M4","5","180","Поступление","70"
"424","10/1/2021","M4","5","120","Продажа","70"
"425","10/1/2021","M4","6","180","Поступление","50"
"426","10/1/2021","M4","6","90","Продажа","50"
"427","10/1/2021","M4","9","170","Поступление","55"
"428","10/1/2021","M4","9","150","Продажа","55"
"429","10/1/2021","M4","10","180","Поступление","70"
"430","10/1/2021","M4","10","80","Продажа","70"
"431","10/1/2021","M4","13","180","Поступление","60"
"432","10/1/2021","M4","13","100","Продажа","60"
"433","10/1/2021","M4","18","170","Поступление","49"
"434","10/1/2021","M4","18","60","Продажа","49"
"435","10/1/2021","M4","24","180","Поступление","50"
"436","10/1/2021","M4","24","120","Продажа","50"
"437","10/1/2021","M4","25","180","Поступление","52"
"438","10/1/2021","M4","25","120","Продажа","52"
"439","10/1/2021","M4","26","180","Поступление","47"
"440","10/1/2021","M4","26","120","Продажа","47"
"441","10/1/2021","M4","27","180","Поступление","45"
"442","10/1/2021","M4","27","120","Продажа","45"
"443","10/1/2021","M4","28","170","Поступление","38"
"444","10/1/2021","M4","28","100","Продажа","38"
"445","10/1/2021","M4","29","180","Поступление","85"
"446","10/1/2021","M4","29","20","Продажа","85"
"447","10/1/2021","M4","30","180","Поступление","44"
"448","10/1/2021","M4","30","80","Продажа","44"
"449","10/1/2021","M4","33","170","Поступление","50"
"450","10/1/2021","M4","33","80","Продажа","50"
"451","10/1/2021","M4","34","180","Поступление","65"
"452","10/1/2021","M4","34","40","Продажа","65"
"453","10/1/2021","M4","44","180","Поступление","180"
"454","10/1/2021","M4","44","60","Продажа","180"
"455","10/1/2021","M4","45","180","Поступление","170"
"456","10/1/2021","M4","45","40","Продажа","170"
"457","10/1/2021","M4","46","180","Поступление","330"
"458","10/1/2021","M4","46","80","Продажа","330"
"459","10/1/2021","M4","47","170","Поступление","370"
"460","10/1/2021","M4","47","24","Продажа","370"
"461","10/1/2021","M4","48","180","Поступление","180"
"462","10/1/2021","M4","48","60","Продажа","180"
"463","10/1/2021","M5","4","180","Поступление","75"
"464","10/1/2021","M5","4","180","Продажа","75"
"465","10/1/2021","M5","5","170","Поступление","70"
"466","10/1/2021","M5","5","180","Продажа","70"
"467","10/1/2021","M5","6","180","Поступление","50"
"468","10/1/2021","M5","6","180","Продажа","50"
"469","10/1/2021","M5","9","180","Поступление","55"
"470","10/1/2021","M5","9","150","Продажа","55"
"471","10/1/2021","M5","10","180","Поступление","70"
"472","10/1/2021","M5","10","138","Продажа","70"
"473","10/1/2021","M5","13","180","Поступление","60"
"474","10/1/2021","M5","13","120","Продажа","60"
"475","10/1/2021","M5","18","170","Поступление","49"
"476","10/1/2021","M5","18","80","Продажа","49"
"477","10/1/2021","M5","24","180","Поступление","50"
"478","10/1/2021","M5","24","159","Продажа","50"
"479","10/1/2021","M5","25","180","Поступление","52"
"480","10/1/2021","M5","25","159","Продажа","52"
"481","10/1/2021","M5","26","170","Поступление","47"
"482","10/1/2021","M5","26","159","Продажа","47"
"483","10/1/2021","M5","27","180","Поступление","45"
"484","10/1/2021","M5","27","159","Продажа","45"
"485","10/1/2021","M5","28","180","Поступление","38"
"486","10/1/2021","M5","28","133","Продажа","38"
"487","10/1/2021","M5","29","180","Поступление","85"
"488","10/1/2021","M5","29","27","Продажа","85"
"489","10/1/2021","M5","30","180","Поступление","44"
"490","10/1/2021","M5","30","106","Продажа","44"
"491","10/1/2021","M5","33","170","Поступление","50"
"492","10/1/2021","M5","33","106","Продажа","50"
"493","10/1/2021","M5","34","180","Поступление","65"
"494","10/1/2021","M5","34","53","Продажа","65"
"495","10/1/2021","M5","44","180","Поступление","180"
"496","10/1/2021","M5","44","80","Продажа","180"
"497","10/1/2021","M5","45","170","Поступление","170"
"498","10/1/2021","M5","45","53","Продажа","170"
"499","10/1/2021","M5","46","180","Поступление","330"
"500","10/1/2021","M5","46","106","Продажа","330"
"501","10/1/2021","M5","47","180","Поступление","370"
"502","10/1/2021","M5","47","32","Продажа","370"
"503","10/1/2021","M5","48","180","Поступление","180"
"504","10/1/2021","M5","48","80","Продажа","180"
"505","10/1/2021","M6","4","180","Поступление","75"
"506","10/1/2021","M6","4","180","Продажа","75"
"507","10/1/2021","M6","5","170","Поступление","70"
"508","10/1/2021","M6","5","180","Продажа","70"
"509","10/1/2021","M6","6","180","Поступление","50"
"510","10/1/2021","M6","6","180","Продажа","50"
"511","10/1/2021","M6","9","180","Поступление","55"
"512","10/1/2021","M6","9","150","Продажа","55"
"513","10/1/2021","M6","10","170","Поступление","70"
"514","10/1/2021","M6","10","150","Продажа","70"
"515","10/1/2021","M6","13","180","Поступление","60"
"516","10/1/2021","M6","13","115","Продажа","60"
"517","10/1/2021","M6","18","180","Поступление","49"
"518","10/1/2021","M6","18","80","Продажа","49"
"519","10/1/2021","M6","24","180","Поступление","50"
"520","10/1/2021","M6","24","159","Продажа","50"
"521","10/1/2021","M6","25","180","Поступление","52"
"522","10/1/2021","M6","25","159","Продажа","52"
"523","10/1/2021","M6","26","170","Поступление","47"
"524","10/1/2021","M6","26","159","Продажа","47"
"525","10/1/2021","M6","27","180","Поступление","45"
"526","10/1/2021","M6","27","159","Продажа","45"
"527","10/1/2021","M6","28","180","Поступление","38"
"528","10/1/2021","M6","28","133","Продажа","38"
"529","10/1/2021","M6","29","170","Поступление","85"
"530","10/1/2021","M6","29","27","Продажа","85"
"531","10/1/2021","M6","30","180","Поступление","44"
"532","10/1/2021","M6","30","106","Продажа","44"
"533","10/1/2021","M6","33","180","Поступление","50"
"534","10/1/2021","M6","33","106","Продажа","50"
"535","10/1/2021","M6","34","180","Поступление","65"
"536","10/1/2021","M6","34","53","Продажа","65"
"537","10/1/2021","M6","44","180","Поступление","180"
"538","10/1/2021","M6","44","80","Продажа","180"
"539","10/1/2021","M6","45","170","Поступление","170"
"540","10/1/2021","M6","45","53","Продажа","170"
"541","10/1/2021","M6","46","180","Поступление","330"
"542","10/1/2021","M6","46","106","Продажа","330"
"543","10/1/2021","M6","47","180","Поступление","370"
"544","10/1/2021","M6","47","32","Продажа","370"
"545","10/1/2021","M6","48","170","Поступление","180"
"546","10/1/2021","M6","48","80","Продажа","180"
"547","10/1/2021","M7","4","180","Поступление","75"
"548","10/1/2021","M7","4","180","Продажа","75"
"549","10/1/2021","M7","5","180","Поступление","70"
"550","10/1/2021","M7","5","120","Продажа","70"
"551","10/1/2021","M7","6","180","Поступление","50"
"552","10/1/2021","M7","6","90","Продажа","50"
"553","10/1/2021","M7","9","180","Поступление","55"
"554","10/1/2021","M7","9","150","Продажа","55"
"555","10/1/2021","M7","10","170","Поступление","70"
"556","10/1/2021","M7","10","90","Продажа","70"
